Rank,Name,Genre,Platform,Publisher,Developer_x,Year,Total_Sales
228,Tomb Raider II,Adventure,PS,Eidos Interactive,Core Design Ltd.,1997.0,5.24
229,Madden NFL 2004,Sports,PS2,EA Sports,EA Tiburon,2003.0,5.23
230,Call of Duty: Advanced Warfare,Shooter,XOne,Activision,Sledgehammer Games,2014.0,5.22
231,Fallout: New Vegas,Role-Playing,PC,Bethesda Softworks,Obsidian Entertainment,2010.0,5.22
232,Gran Turismo 6,Racing,PS3,Sony Computer Entertainment America,Polyphony Digital,2013.0,5.22
233,Kingdom Hearts II,Role-Playing,PS2,Square Enix,Square Enix,2006.0,5.2
234,God of War III,Action,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,2010.0,5.2
235,Nintendo Land,Party,WiiU,Nintendo,Nintendo,2012.0,5.19
236,Super Mario Land 3: Wario Land,Platform,GB,Nintendo,Nintendo R&D1,1994.0,5.19
237,Donkey Kong Country 2: Diddy's Kong Quest,Platform,SNES,Nintendo,Rare Ltd.,1995.0,5.15
238,Medal of Honor: Rising Sun,Shooter,PS2,Electronic Arts,EA Los Angeles,2003.0,5.13
239,Battlefield 1,Shooter,XOne,Electronic Arts,EA DICE,2016.0,5.13
240,Kirby's Dream Land,Platform,GB,Nintendo,HAL Laboratory,1992.0,5.13
241,Microsoft Flight Simulator,Simulation,PC,Microsoft,Microsoft,1996.0,5.12
242,Guitar Hero II,Misc,PS2,RedOctane,Harmonix Music Systems,2006.0,5.12
243,FIFA 13,Sports,X360,EA Sports,EA Canada,2012.0,5.11
244,Resident Evil 5,Action,PS3,Capcom,Capcom,2009.0,5.1
245,Fable III,Role-Playing,X360,Microsoft Game Studios,Lionhead Studios,2010.0,5.1
246,Mario & Sonic at the Olympic Games,Sports,DS,Sega,Sega,2008.0,5.1
247,Grand Theft Auto: Vice City Stories,Action,PSP,Rockstar Games,Rockstar Leeds,2006.0,5.08
248,FIFA Soccer 11,Sports,PS3,EA Sports,EA Canada,2010.0,5.08
249,Super Mario Bros. Deluxe,Platform,GB,Nintendo,Nintendo EAD,1999.0,5.07
250,Final Fantasy XV,Role-Playing,PS4,Square Enix,Square Enix,2016.0,5.07
251,Fallout 4,Role-Playing,XOne,Bethesda Softworks,Bethesda Game Studios,2015.0,5.03
252,Tony Hawk's Pro Skater,Sports,PS,Activision,Neversoft Entertainment,1999.0,5.02
253,Warzone 2100,Strategy,PS,Eidos Interactive,Pumpkin Studios,1999.0,5.01
254,Spyro the Dragon,Platform,PS,Sony Computer Entertainment,Insomniac Games,1998.0,5.0
255,Cities: Skylines,Simulation,PC,Paradox Interactive,Colossal Order,2015.0,5.0
256,Gears of War,Shooter,X360,Microsoft Game Studios,Epic Games,2006.0,5.0
257,Gears of War 2,Shooter,X360,Microsoft Game Studios,Epic Games,2008.0,5.0
